Spain, Population size (abridged)	Last modified: 08 May 2020;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
     1908        0            293127.94       303915.69       597043.63
     1908        1            265371.18       268001.04       533372.22
     1908        2            247724.96       254761.14       502486.10
     1908        3            248120.89       249420.63       497541.52
     1908        4            243290.22       245973.37       489263.59
     1908        5            242399.84       246377.85       488777.69
     1908        6            216872.95       220680.87       437553.82
     1908        7            236416.82       236969.63       473386.45
     1908        8            194955.93       197558.69       392514.62
     1908        9            222896.94       221148.67       444045.61
     1908       10            198533.61       198535.36       397068.97
     1908       11            202979.02       203900.88       406879.90
     1908       12            187624.58       181938.28       369562.86
     1908       13            188157.03       175181.72       363338.75
     1908       14            179472.21       174841.35       354313.56
     1908       15            206642.43       185408.24       392050.67
     1908       16            166301.02       150094.60       316395.62
     1908       17            205048.93       159047.50       364096.43
     1908       18            148034.16       142043.68       290077.84
     1908       19            182553.70       172388.84       354942.54
     1908       20            162157.68       165302.06       327459.74
     1908       21            176965.33       154683.97       331649.30
     1908       22            173355.94       152667.90       326023.84
     1908       23            165582.46       149750.44       315332.90
     1908       24            142151.11       136899.14       279050.25
     1908       25            171922.87       151952.03       323874.90
     1908       26            125497.83       119062.57       244560.40
     1908       27            225171.13       186448.59       411619.72
     1908       28            101007.93        99016.75       200024.68
     1908       29            146178.93       134714.23       280893.16
     1908       30            125805.14       122566.80       248371.94
     1908       31            138680.29       124604.70       263284.99
     1908       32            139303.65       127383.97       266687.62
     1908       33            146073.67       127382.98       273456.65
     1908       34            112612.36       105181.78       217794.14
     1908       35            141065.61       127742.74       268808.35
     1908       36            100220.90        97855.10       198076.00
     1908       37            219796.09       194087.75       413883.84
     1908       38             79079.46        78849.72       157929.18
     1908       39            119135.82       113585.43       232721.25
     1908       40             92243.21        89039.83       181283.04
     1908       41            115814.63       108023.43       223838.06
     1908       42            125006.96       124467.24       249474.20
     1908       43            113969.14       104329.23       218298.37
     1908       44             88104.97        85321.29       173426.26
     1908       45            121712.52       110996.64       232709.16
     1908       46             83464.36        84984.50       168448.86
     1908       47            203284.16       174834.74       378118.90
     1908       48             66579.06        69732.21       136311.27
     1908       49             96016.38        91718.15       187734.53
     1908       50             71034.52        70943.88       141978.40
     1908       51             94941.63        82473.88       177415.51
     1908       52             92774.73        89106.73       181881.46
     1908       53             96246.45        86192.71       182439.16
     1908       54             68784.26        64983.06       133767.32
     1908       55             93167.31        82041.84       175209.15
     1908       56             62016.46        62057.83       124074.29
     1908       57            183134.45       142061.81       325196.26
     1908       58             54668.58        56014.26       110682.84
     1908       59             74594.02        71236.90       145830.92
     1908       60             58677.77        57943.80       116621.57
     1908       61             71498.56        65616.65       137115.21
     1908       62             73687.28        67360.02       141047.30
     1908       63             64451.01        62110.68       126561.69
     1908       64             49814.24        49683.55        99497.79
     1908       65             60573.25        53749.20       114322.45
     1908       66             38223.00        37187.08        75410.08
     1908       67             96271.65        77579.73       173851.38
     1908       68             30113.04        30236.76        60349.80
     1908       69             38028.91        35329.09        73358.00
     1908       70             28110.50        27724.93        55835.43
     1908       71             30285.73        29347.61        59633.34
     1908       72             32311.96        29975.33        62287.29
     1908       73             28397.02        25770.09        54167.11
     1908       74             21775.50        21192.96        42968.46
     1908       75             23774.17        21700.53        45474.70
     1908       76             15527.78        14476.30        30004.08
     1908       77             37367.86        26273.81        63641.67
     1908       78             14334.00        12273.98        26607.98
     1908       79             15094.34        12271.75        27366.09
     1908       80             17995.74        13080.83        31076.57
     1908       81             14899.61        10697.84        25597.45
     1908       82             13464.46         9375.35        22839.81
     1908       83             11774.00         8019.61        19793.61
     1908       84              9865.35         6485.47        16350.82
     1908       85              7893.24         4976.04        12869.28
     1908       86              6464.94         3963.94        10428.88
     1908       87              5375.57         3239.60         8615.17
     1908       88              4332.76         2535.98         6868.74
     1908       89              3389.65         1798.35         5188.00
     1908       90              2472.43         1203.90         3676.33
     1908       91              1792.88          833.50         2626.38
     1908       92              1529.04          678.01         2207.05
     1908       93              1217.04          531.67         1748.71
     1908       94               911.25          385.72         1296.97
     1908       95               683.19          278.06          961.25
     1908       96               503.49          186.15          689.64
     1908       97               333.86          114.01          447.87
     1908       98               279.64           94.10          373.74
     1908       99               159.72           38.55          198.27
     1908      100                94.91           24.74          119.65
     1908      101                63.45           18.68           82.13
     1908      102                40.63           10.62           51.25
     1908      103                25.89            5.49           31.38
     1908      104                15.87            3.06           18.93
     1908      105                 9.19            1.26           10.45
     1908      106                 5.16            0.75            5.91
     1908      107                 2.70            0.00            2.70
     1908      108                 1.05            0.00            1.05
     1908      109                 0.62            0.00            0.62
     1908      110+                0.00            0.00            0.00
     1909        0            288052.30       300684.53       588736.83
     1909        1            264529.17       270419.89       534949.06
     1909        2            250439.49       252347.45       502786.94
     1909        3            239102.52       245836.08       484938.60
     1909        4            243144.62       244216.27       487360.89
     1909        5            239992.87       242628.57       482621.44
     1909        6            239996.23       244042.92       484039.15
     1909        7            215121.29       219023.56       434144.85
     1909        8            235178.43       235798.99       470977.42
     1909        9            193976.45       196633.69       390610.14
     1909       10            222077.40       220408.44       442485.84
     1909       11            197779.42       197877.91       395657.33
     1909       12            202250.06       203265.32       405515.38
     1909       13            186894.35       181299.32       368193.67
     1909       14            187370.17       174526.84       361897.01
     1909       15            178577.53       174177.62       352755.15
     1909       16            205689.25       184718.49       390407.74
     1909       17            165274.52       149248.77       314523.29
     1909       18            203913.97       157982.31       361896.28
     1909       19            146877.33       140917.74       287795.07
     1909       20            181366.72       171261.78       352628.50
     1909       21            160997.87       164207.13       325205.00
     1909       22            175761.97       153538.31       329300.28
     1909       23            172010.10       151459.07       323469.17
     1909       24            164261.89       148556.61       312818.50
     1909       25            140868.58       135733.34       276601.92
     1909       26            170680.56       150846.32       321526.88
     1909       27            124274.81       118043.62       242318.43
     1909       28            223919.58       185410.01       409329.59
     1909       29             99877.68        98047.70       197925.38
     1909       30            144813.07       133692.98       278506.05
     1909       31            124478.28       121603.41       246081.69
     1909       32            137607.40       123748.54       261355.94
     1909       33            138054.51       126357.47       264411.98
     1909       34            144915.53       126367.30       271282.83
     1909       35            111411.36       104136.28       215547.64
     1909       36            139837.17       126627.90       266465.07
     1909       37             99138.37        96875.16       196013.53
     1909       38            218763.77       193079.57       411843.34
     1909       39             78121.51        77864.92       155986.43
     1909       40            117792.12       112342.74       230134.86
     1909       41             90901.35        87781.39       178682.74
     1909       42            114825.37       106941.46       221766.83
     1909       43            123932.81       123239.00       247171.81
     1909       44            113004.96       103194.71       216199.67
     1909       45             86905.52        83953.35       170858.87
     1909       46            120479.66       109553.44       230033.10
     1909       47             82457.12        83690.48       166147.60
     1909       48            202201.48       173376.34       375577.82
     1909       49             65461.13        68343.47       133804.60
     1909       50             94387.17        90035.44       184422.61
     1909       51             69438.62        69273.29       138711.91
     1909       52             93916.65        81210.44       175127.09
     1909       53             91569.72        87634.84       179204.56
     1909       54             95027.51        84659.78       179687.29
     1909       55             67273.82        63226.74       130500.56
     1909       56             91542.64        80170.90       171713.54
     1909       57             60567.87        60275.17       120843.04
     1909       58            181586.45       140203.38       321789.83
     1909       59             53146.85        54135.79       107282.64
     1909       60             71728.89        68568.89       140297.78
     1909       61             55630.83        55235.93       110866.76
     1909       62             69760.91        63567.63       133328.54
     1909       63             71569.87        64960.59       136530.46
     1909       64             62207.75        59631.08       121838.83
     1909       65             47088.70        46781.32        93870.02
     1909       66             57774.95        50860.78       108635.73
     1909       67             35873.88        34676.30        70550.18
     1909       68             93936.83        75027.58       168964.41
     1909       69             28036.57        27949.33        55985.90
     1909       70             34473.54        32275.50        66749.04
     1909       71             24270.58        24626.13        48896.71
     1909       72             28272.61        27324.38        55596.99
     1909       73             29963.59        27590.57        57554.16
     1909       74             26156.64        23431.41        49588.05
     1909       75             18990.40        18549.07        37539.47
     1909       76             21060.77        19157.57        40218.34
     1909       77             13400.69        12289.52        25690.21
     1909       78             35062.88        23920.29        58983.17
     1909       79             12228.78        10185.10        22413.88
     1909       80             18534.88        13356.62        31891.50
     1909       81             14939.15        10796.94        25736.09
     1909       82             13410.38         9405.09        22815.47
     1909       83             11820.73         7935.30        19756.03
     1909       84             10191.23         6647.55        16838.78
     1909       85              8143.70         5125.95        13269.65
     1909       86              6506.25         3937.95        10444.20
     1909       87              5397.68         3152.81         8550.49
     1909       88              4489.97         2529.31         7019.28
     1909       89              3608.88         1955.63         5564.51
     1909       90              2620.91         1347.84         3968.75
     1909       91              1851.24          883.86         2735.10
     1909       92              1540.34          686.73         2227.07
     1909       93              1259.51          534.40         1793.91
     1909       94               980.74          420.01         1400.75
     1909       95               692.33          298.40          990.73
     1909       96               494.00          198.35          692.35
     1909       97               363.56          127.61          491.17
     1909       98               231.09           75.41          306.50
     1909       99               201.06           66.59          267.65
     1909      100               113.72           27.95          141.67
     1909      101                62.77           17.06           79.83
     1909      102                39.92           10.25           50.17
     1909      103                24.67            5.24           29.91
     1909      104                15.27            2.11           17.38
     1909      105                 8.93            0.98            9.91
     1909      106                 4.74            0.00            4.74
     1909      107                 2.37            0.00            2.37
     1909      108                 0.97            0.00            0.97
     1909      109                 0.00            0.00            0.00
     1909      110+                0.00            0.00            0.00
     1910        0            250885.22       260754.10       511639.32
     1910        1            260912.52       268735.98       529648.50
     1910        2            250455.52       255436.21       505891.73
